,ticker,figi,type,name,country_of_rick
245,YEXT,BBG001MKZGY7,shares,Yext Inc,US
246,KD,BBG012W99DN6,shares,Kyndryl Holdings,US
247,COLB,BBG000CTGXS2,shares,Columbia Banking System,US
248,WST,BBG000BX24N8,shares,West Pharmaceutical Services I,US
249,FLR,BBG000BB1TH9,shares,Fluor,US
250,UPBD,BBG000BHQJX3,shares,Upbound Group,US
251,YETI,BBG00D8JC882,shares,YETI Holdings Inc,US
252,UEC,BBG000LCK3Q2,shares,Uranium Energy Corp,US
253,ZNTL,BBG00R2K8TF5,shares,Zentalis Pharmaceuticals,US
254,1109,BBG000HPNDX5,shares,China Resources Land,HK
255,WDAY,BBG000VC0T95,shares,Workday Inc,US
256,1299,BBG0016XR1Q8,shares,AIA Group,HK
257,GPS,BBG000BKLH74,shares,Gap,US
258,RYN,BBG000BG7L34,shares,Rayonier REIT,US
259,1347,BBG0078Q6BC4,shares,Hua Hong Semiconductor,CN
260,EMBC,BBG014L7D4G1,shares,Embecta,US
261,MAGN,BBG004S68507,shares,Магнитогорский металлургический комбинат,RU
262,VTBR,BBG004730ZJ9,shares,Банк ВТБ,RU
263,LUMN,BBG000BGLRN3,shares,Lumen Technologies,US
264,WMG,BBG00RP2T9T6,shares,Warner Music Group,US
265,WRLD,BBG000C3G9J2,shares,World Acceptance Corp,US
266,VSTO,BBG006F8QZK4,shares,Vista Outdoor,US
267,TPH,BBG0016YQTR5,shares,"Tri Pointe Homes, Inc.",US
268,AVNT,BBG000C8NJ10,shares,Avient Corporation,US
269,AAP,BBG000F7RCJ1,shares,Advance Auto Parts,US
270,AON,BBG00SSQFPK6,shares,Aon,US
271,TTD,BBG00629NGT2,shares,Trade Desk Inc/The,US
272,EFX,BBG000BHPL78,shares,Equifax,US
273,AWH,BBG000BTYP37,shares,Aspira Womens Health,US
274,MKC,BBG000G6Y5W4,shares,McCormick & Co,US
275,RPD,BBG009DFHWG6,shares,Rapid7 Inc,US
276,CARM,TCS00A105NV2,shares,КарМани,RU
277,MHK,BBG000FLZN98,shares,Mohawk Industries,US
278,MA,BBG000F1ZSQ2,shares,Mastercard,US
279,RUAL,BBG008F2T3T2,shares,РУСАЛ,RU
280,NKHP,BBG00BGKYH17,shares,НКХП,RU
281,GLBE,BBG00ZKY1P71,shares,Global-E Online Ltd,IL
282,TGKJ,TCS00A0F61T7,shares,Форвард Энерго,RU
283,SBAC,BBG000D2M0Z7,shares,SBA Communications REIT,US
284,AWR,BBG000F964B6,shares,American States Water Co,US
285,SIGI,BBG000BSZ738,shares,Selective Insurance Group,US
286,RBA,BBG000C1DF05,shares,RB Global,CA
287,PLTK,BBG00QQ8C789,shares,Playtika Holding Corp.,US
288,MNDY,BBG00GF8K4W4,shares,Monday.Com,IL
289,CGEN,BBG000B9ZLB0,shares,Compugen,IL
290,ITCI,BBG0026ZFZC4,shares,"Intra-Cellular Therapies, Inc",US
291,CRMT,BBG000CM6L31,shares,America's Car-Mart Inc TX,US
292,TOL,BBG000BVHBM1,shares,Toll Brothers Inc,US
293,SPG,BBG000BJ2D31,shares,Simon Property Group REIT,US
294,NVR,BBG000BQBYR3,shares,NVR Inc,US
295,AWK,BBG000TRJ294,shares,American Water Works,US
296,CTLT,BBG005XR47P5,shares,Catalent Inc,US
297,BERY,BBG000Q1R1Y9,shares,Berry Global Group Inc,US
298,SCL,BBG000BSMFN2,shares,Stepan Company,US
299,CMC,BBG000BFSND8,shares,Commercial Metals Company,US
300,3908,BBG00B0THY80,shares,China International Capital Corporation,CN
301,IRWD,BBG000GBZ3J2,shares,Ironwood Pharmaceuticals,US
302,DASH,BBG005D7QCJ3,shares,DoorDash,US
303,1044,BBG000CJXNB5,shares,Hengan Group,
304,EAT,BBG000BK28N7,shares,Brinker International Inc,US
305,SNAP,BBG00441QMJ7,shares,Snap Inc,US
306,TSM,BBG000BD8ZK0,shares,Taiwan Semiconductor Manufacturing,TW
307,SLP,BBG000BS2ZD1,shares,Simulations Plus Inc.,US
308,HZO,BBG000C1SRH5,shares,"MarineMax, Inc.",US
309,CPB,BBG000BG4202,shares,Campbell Soup,US
310,VRT,BBG00L2B8KW8,shares,Vertiv Holdings Co,US
311,CHD,BBG000BFJT36,shares,Church & Dwight,US
312,BBWI,BBG000BNGTQ7,shares,Bath & Body Works,US
313,RUN,BBG0025XVR85,shares,Sunrun Inc,US
314,AKAM,BBG000BJQWD2,shares,Akamai Technologies,US
315,CP,BBG000BCVMH9,shares,Canadian Pacific Kansas City,CA
316,SRE,BBG000C2ZCH8,shares,Sempra,US
317,ZUMZ,BBG000PYX812,shares,Zumiez Inc,US
318,MODG,BBG000CPCVY1,shares,Topgolf Callaway Brands,US
319,USM,BBG000BW6P59,shares,United States Cellular Corp,US
320,ZYNE,BBG007BBS8B7,shares,Zynerba Pharmaceuticals Inc,US
321,SKLZ,BBG00RQ732B6,shares,Skillz Inc.,US
322,16,BBG000BF0155,shares,Sun Hung Kai Properties,CN
323,BMO,BBG000DLY9B9,shares,Bank of Montreal,CA
324,2359,BBG00MP10H94,shares,WuXi AppTec,CN
325,AVXL,BBG000C9K8K4,shares,Anavex Life Sciences Corp.,US
326,ATI,BBG000LC1FS4,shares,ATI Inc,US
327,2328,BBG000BYRGX1,shares,PICC Property and Casualty,CN
328,COIN,BBG00ZGF7771,shares,Coinbase,US
329,CLSK,BBG001MB89V6,shares,Cleanspark Inc,US
330,DNMR,BBG00S4VMQT2,shares,Danimer Scientific,US
331,ATNI,BBG000F8RCH1,shares,"ATN International, Inc",US
332,CBU,BBG000BF4D19,shares,Community Financial System,US
